id,EC,Effort,GPS,Time,V6,"Latitude(N,84)",V8,V9,"Longitude(E,84)",V11,V12,Speed,Brg,Weather,Glare,Sightability,Visibility,deep(m),Beaufort,Sal.(‰),T(℃),pH,Turbidity(NTU),Net,Recorder,Cargo(mobile),Cargo(station),Fishing Boat(mobile),Fishing Boat(station),Comments
1,LP,OFF,50,7,16,24,5,149,120,25,193,,,,,,,,,,,,,0,YI,,,,,
2,BE/R,ON,51,7,43,24,5,83,120,22,48,7.3,253,O,0,0,1.2,9.6,1,33.1,30.1,8.25,6.6,1,JL,0,0,0,1,
3,R,ON,52,7,53,24,4,0,120,21,494,7.7,209,PC,0,1,1.2,9.1,1,34,30.1,8.27,4.26,0,JL,0,0,0,0,有霧氣（船長說空氣污染）
4,R,ON,53,8,5,24,2,998,120,20,489,7.3,226,PC,0,1,1.2,7.5,1,33.9,30.1,8.25,7.93,2,JL,0,0,0,1,
5,R,ON,54,8,14,24,2,0,120,19,784,7.4,218,O,0,0,1.2,5.6,1,33.8,30.1,8.25,6.05,0,XN,0,0,0,0,水氣
6,R,ON,55,8,24,24,1,1,120,19,199,7.3,208,O,0,0,1.2,3.7,1,33.6,30.1,8.24,4.65,0,XN,0,0,1,0,換電池
7,R,ON,56,8,35,23,59,999,120,18,487,6.3,212,O,0,0,1.2,9.2,1,28,30,8.22,7.37,0,YI,0,0,0,0,水氣重
8,R,ON,57,8,45,23,58,999,120,17,841,6.9,218,MC,0,0,1.2,12.3,1,32.7,30.2,8.23,4.46,4,YI,0,0,0,1,
9,R,ON,58,8,54,23,58,0,120,17,214,7.4,211,MC,0,0,1.2,12.1,1,33.7,30,8.22,4.71,0,CW,0,0,0,0,
10,R,ON,59,9,4,23,56,999,120,16,568,7.5,214,MC,0,0,1.2,10.7,1,31.7,30,8.23,4.25,1,CW,0,0,0,1,
11,R,ON,60,9,14,23,56,0,120,15,899,7.6,211,MC,0,0,1.2,10.1,1,31.7,30.3,8.22,5.8,4,HH,0,0,0,0,
12,R,ON,61,9,23,23,54,995,120,15,219,7.8,211,MC,0,0,1.2,18.3,1,31.4,30.4,8.22,6.64,1,HH,0,0,0,0,
13,R,ON,62,9,31,23,53,998,120,14,590,8.1,213,MC,0,0,1.3,6.2,1,33.9,30.2,8.22,4.72,0,JL,0,0,0,0,
14,R,ON,63,9,45,23,52,998,120,13,3,8.1,234,MC,0,0,1.3,7.5,1,33.9,30.4,8.21,4.73,0,JL,0,0,0,0,
15,S,ON,64,9,47,23,52,784,120,12,813,,,,,,,7.4,1,34.2,30.3,8.21,4.05,0,CW,0,0,0,0,船230 豚135
16,LS/BT,OFF,72,10,22,23,51,976,120,12,462,,,,,,,4.2,1,34.1,30.7,8.22,3.78,0,CW,0,0,0,0,
17,R,ON,73,10,34,23,53,0,120,13,17,6.9,42,MC,0,0,1.3,7.5,1,34.1,30.6,8.23,3.45,0,XN,0,0,0,0,
18,R,ON,74,10,49,23,53,999,120,14,599,7.2,58,Cd,0,0,1.3,6.1,1,33.5,30.7,8.22,4.75,0,XN,0,0,0,0,
19,R,ON,75,10,59,23,55,1,120,15,250,7.5,32,Cd,0,0,1.3,7.9,1,33.8,30.6,8.22,3.57,0,YI,0,0,0,0,
20,R,ON,76,11,8,23,56,1,120,15,898,7.6,28,Cd,0,0,1.5,10.1,1,33.5,30.7,8.23,3.85,1,YI,0,0,0,0,
21,R,ON,77,11,18,23,57,0,120,16,591,7.5,31,Cd,0,0,1.5,8.6,1,33.4,30.6,8.22,3.43,0,CW,0,0,0,0,
22,R,ON,78,11,27,23,58,1,120,17,241,7.6,25,Cd,0,0,1.5,12.3,1,33.4,30.5,8.23,4.5,0,CW,0,0,0,1,
23,R,ON,79,11,36,23,59,1,120,17,855,7.8,26,Cd,0,0,1.5,12.6,1,33.2,30.6,8.23,3.37,0,HH,0,0,0,0,
24,R,ON,80,11,45,24,0,2,120,18,516,8.1,34,Cd,0,0,1.5,9.1,1,33.4,30.8,8.24,2.75,0,HH,0,0,0,0,
25,R,ON,81,11,55,24,1,1,120,19,201,8.4,35,Cd,0,0,1.5,3.7,1,32.9,30.5,8.25,3.21,0,JL,0,0,0,0,
26,R,ON,82,12,4,24,2,3,120,19,787,7.4,25,Cd,0,0,1.5,5.5,1,33.1,30.7,8.25,3.06,0,JL,0,0,0,0,
27,R,ON,83,12,13,24,3,0,120,20,516,7.8,32,Cd,0,0,1.5,7.6,1,33.9,30.2,8.24,3.32,0,XN,0,0,0,0,
28,R,ON,84,12,24,24,4,1,120,21,507,7.8,50,Cd,0,0,1.5,9.2,1,33.7,30.6,8.26,2.7,0,XN,0,0,0,0,
29,R/EE,OFF,85,12,32,24,4,997,120,21,990,7.8,22,Cd,0,0,1.5,11.2,1,33.9,30.3,8.2,3.54,2,YI,0,0,0,0,
30,BP,OFF,86,13,1,24,5,87,120,25,210,,,,,,,,,,,,,,,,,,,
31,LP,OFF,751,7,35,24,5,136,120,25,190,,,,,,,,,,,,,0,JL,,,,,
32,BE/R,ON,752,8,3,24,5,33,120,22,24,6.8,217,Cd,0,0,1.5,9.9,1,32,30.3,8.19,5.39,0,CW,0,1,0,1,
33,R,ON,753,8,12,24,4,0,120,21,487,7.7,221,Cd,0,0,1.5,9.3,1,33.9,30.1,8.26,5.15,5,CW,0,0,0,2,
34,R,ON,754,8,23,24,3,0,120,20,539,7.3,220,Cd,0,0,1.5,8.1,1,33.6,30.3,8.24,4.36,5,CW,0,0,1,1,
35,R,ON,755,8,33,24,2,0,120,19,785,7.7,210,Cd,0,0,1.5,5.1,1,33.4,30.3,8.21,7.26,0,YI,0,0,0,0,岸邊略有水氣
36,R,ON,756,8,42,24,1,0,120,19,218,7.4,216,Cd,0,0,1.5,3.3,1,33.4,30.2,8.23,4.53,0,YI,0,0,0,0,
37,R,ON,757,8,53,23,59,997,120,18,512,6.6,209,Cd,0,0,1.5,9,1,26.6,30.3,8.2,7.31,0,JL,0,0,0,0,
38,R,ON,758,9,3,23,58,999,120,17,838,7.3,229,Cd,0,0,1.5,12.5,1,32.5,30.5,8.22,4.33,4,JL,0,0,0,1,
39,R,ON,759,9,12,23,57,999,120,17,260,7.6,216,Cd,0,0,1.5,11.8,1,33.8,30.2,8.22,5.5,0,XN,0,0,0,0,
40,R,ON,760,9,22,23,56,999,120,16,566,7.7,210,Cd,0,0,1.5,9.8,1,34,30.1,8.22,4.3,0,XN,0,0,0,0,
41,R,ON,761,9,31,23,55,999,120,15,886,7.6,213,Cd,0,0,1.5,10.1,1,33.4,30.5,8.22,4.09,1,HH,0,0,0,0,
42,R,ON,762,9,40,23,54,998,120,15,250,8,212,Cd,0,0,1.5,7.9,1,34.1,30.5,8.22,3.45,0,HH,0,0,0,0,
43,R,ON,763,9,49,23,53,998,120,14,606,8.3,207,Cd,0,0,1.5,5.7,1,34.2,30.3,8.21,4.42,0,CW,0,0,0,0,
44,R,ON,764,10,2,23,53,0,120,13,7,8,231,Cd,0,0,1.5,7.4,1,34.1,30.3,8.21,4.19,0,CW,0,0,0,0,
45,R/CC,ON,765,10,11,23,52,0,120,12,246,8.3,213,Cd,0,0,1.5,6.4,1,34,30.3,8.2,3.45,0,YI,0,0,0,0,
46,R,ON,766,10,21,23,53,0,120,13,1,7.8,40,PC,0,0,1.5,7.7,1,34.3,30.3,8.22,3.82,1,YI,0,0,0,0,
47,R,ON,767,10,35,23,54,2,120,14,599,7.8,53,PC,0,0,1.5,6.1,1,34.2,30.3,8.21,3.57,0,JL,0,0,0,0,
48,R,ON,768,10,44,23,55,0,120,15,249,7.4,36,PC,0,0,1.5,8.3,1,33.9,30.5,8.22,3.92,0,JL,0,0,0,0,
49,R,ON,769,10,54,23,56,0,120,15,894,7.6,29,PC,0,0,1.5,10.2,1,33.8,30.6,8.22,3.71,1,XN,0,0,0,0,
50,R,ON,770,11,3,23,57,1,120,16,573,7.7,31,PC,0,0,1.5,10.1,1,33.9,30.5,8.22,3.37,0,XN,0,0,0,0,
51,R,ON,771,11,12,23,58,0,120,17,244,7.6,29,PC,0,0,1.5,12.7,1,32.7,30.8,8.2,4.24,2,HH,0,0,0,0,
52,R,ON,772,11,21,23,59,0,120,17,835,7.8,28,PC,0,0,1.5,12.8,1,33.1,30.7,8.21,4.54,3,HH,0,0,0,0,
53,R,ON,773,11,30,24,0,1,120,18,492,8.1,29,PC,0,0,1.5,9.6,1,33.7,30.7,8.22,2.45,0,CW,0,0,0,0,
54,R,ON,774,11,39,24,1,0,120,19,189,7.9,31,PC,0,0,1.5,4.3,1,33,30.6,8.2,3.02,0,CW,0,0,0,0,
55,R,ON,775,11,48,24,2,2,120,19,777,7.5,30,PC,0,0,1.5,6.5,1,32.4,30.5,8.22,4.15,0,YI,0,0,0,0,
56,R,ON,776,11,57,24,3,1,120,20,468,7.9,32,PC,0,0,1.5,8.9,1,33,30.8,8.23,2.86,3,YI,0,0,2,1,
57,R,ON,777,12,8,24,4,18,120,21,513,8.3,45,Cr,0,0,1.5,9.7,1,32.8,30.7,8.22,2.29,0,JL,0,0,0,0,些許白頭浪
58,R/EE,OFF,778,12,16,24,5,5,120,21,996,7.8,25,Cr,0,0,1.5,11.7,1,33.7,30.7,8.21,3.83,1,JL,0,0,0,0,工作船*1
59,BP,OFF,779,12,44,24,5,37,120,25,248,,,,,,,,,,,,,0,JL,,,,,
60,LP,OFF,743,5,43,24,5,128,120,25,195,,,,,,,,,,,,,0,JL,,,,,
61,R,ON,744,6,10,24,5,70,120,22,43,7,253,PC,0,0,1.2,9.2,1,32.2,28.5,8.14,4.91,0,XN,0,0,0,1,
62,R,ON,745,6,20,24,4,0,120,21,503,7.5,211,PC,0,0,1.2,8.7,1,32.8,28.6,8.16,6.9,0,XN,0,0,0,0,
63,R,ON,746,6,32,24,3,0,120,20,492,7.3,211,Cr,0,0,1.2,7.2,1,32.8,28.7,8.16,3.95,0,XN,0,0,0,0,
64,R,ON,747,6,41,24,1,997,120,19,817,7,210,Cr,1,1,1.5,4.3,1,30.2,28.6,8.13,7.11,0,KP,0,0,0,0,
65,R,ON,748,6,52,24,0,998,120,19,194,6.9,205,Cr,1,1,1.5,3.7,1,30,28.6,8.12,6.8,0,KP,0,0,0,0,
66,R,ON,749,7,2,24,0,6,120,18,498,6.9,211,Cr,1,1,1.5,9,1,30.6,28.4,8.12,5.79,0,JL,0,0,0,0,
67,R,ON,750,7,12,23,59,0,120,17,856,7,209,Cr,1,1,1.5,11.9,1,32.1,28.5,8.13,5.52,0,JL,0,0,0,0,
68,R,ON,751,7,22,23,58,4,120,17,242,7.5,210,Cr,2,1,1.5,11.7,1,32.7,28.6,8.11,15,0,MO,0,0,0,0,有水氣
69,R,ON,752,7,31,23,57,7,120,16,611,7.5,211,Cr,2,1,1.5,8.4,1,32.9,28.6,8.12,12.4,0,MO,0,0,0,2,
70,R,ON,753,7,41,23,55,989,120,15,882,6.3,205,Cr,1,1,1.5,9.9,1,32.1,28.6,8.13,15.4,0,XN,0,0,0,0,
71,R,ON,754,7,50,23,55,0,120,15,260,7.7,213,Cr,1,1,1.5,7.7,1,31.7,28.6,8.13,8.52,0,XN,0,0,0,0,
72,R,ON,755,7,59,23,54,4,120,14,569,8,211,Cr,1,1,1.5,6.4,1,32.4,28.9,8.13,12,0,KP,0,0,0,0,
73,R,ON,756,8,12,23,53,0,120,13,7,8.1,232,Cr,1,1,1.5,7.2,1,19.6,27.9,8.11,14.1,0,KP,0,0,0,0,
74,S,OFF,757,8,18,23,52,295,120,12,491,,,Cr,1,1,1.5,6.2,1,33.2,28.9,8.14,5.51,0,JL,0,0,0,0,首220 豚240
75,LS,OFF,765,8,55,23,53,45,120,11,997,,,,,,,15.7,1,33.1,29.4,8.14,6.02,0,JL,,,,,
76,S,OFF,766,9,2,23,53,355,120,12,990,,,,,,,,,,,,,0,JL,,,,,太遠怕潮汐來不及
77,BT,ON,767,9,7,23,53,541,120,13,599,,,,,,,,,,,,,0,JL,,,,,
78,R,ON,768,9,15,23,54,2,120,14,611,7.7,57,Cr,1,1,1.5,5.3,1,29.5,32.8,8.12,9.21,0,JL,0,0,0,0,
79,R,ON,769,9,24,23,55,4,120,15,253,8,37,Cr,1,1,1.5,7.7,1,32,29.2,8.11,7.76,0,MO,0,0,0,0,
80,R,ON,770,9,32,23,56,2,120,15,887,8.2,33,Cr,1,1,1.5,9.9,1,31.9,29.2,8.09,14.1,4,MO,0,0,0,1,
81,R,ON,771,9,41,23,57,2,120,16,561,7.9,31,Cr,1,0,1.5,9.7,1,32.4,29.3,8.1,9.92,3,XN,0,0,1,1,水菓一號調查船進行拖網作業
82,R,ON,772,9,50,23,58,1,120,17,247,8.1,34,Cr,1,0,1.5,11.7,1,31.6,29.3,8.09,5.75,0,XN,0,0,0,0,
83,R,ON,773,9,59,23,59,10,120,17,859,8.2,31,Cr,0,0,1.5,12.1,1,30.8,29.4,8.09,5.38,2,KP,0,0,0,0,
84,R,ON,774,10,8,24,0,11,120,18,524,8.3,36,Cr,0,0,1.5,8.9,1,30,29.4,8.1,6.26,0,KP,0,0,0,0,
85,R,ON,775,10,16,24,1,1,120,19,189,7.6,35,Cr,0,0,1.5,3.8,1,29.8,29.3,8.1,4.41,0,JL,0,0,0,0,些許白頭浪
86,R,ON,776,10,25,24,2,1,120,19,780,7.8,28,Cr,0,0,1.5,5.5,1,30.4,29.4,8.11,5,0,JL,0,0,0,0,
87,R,ON,777,10,34,24,3,8,120,20,525,8,35,Cr,0,0,1.5,8.4,1,31,29.3,8.12,4.17,4,JL,0,0,0,1,
88,R,ON,778,10,44,24,4,3,120,21,520,8.4,38,PC,0,0,1.5,8.9,1,31.1,29.2,8.12,3.8,1,MO,0,0,0,1,稍有水氣
89,R,OFF,779,10,52,24,5,5,120,22,50,8.2,22,PC,0,0,1.5,9.9,2,32.3,29,8.13,3.42,1,MO,0,1,0,1,
90,BP,OFF,780,11,19,24,5,111,120,25,211,,,,,,,,,,,,,0,JL,,,,,
