id,EC,Effort,GPS,Time,V6,"Latitude(N,84)",V8,V9,"Longitude(E,84)",V11,V12,Speed,Brg,Weather,Glare,Sightability,Visibility,deep(m),Beaufort,Sal.(‰),T(℃),pH,Turbidity(NTU),Net,Recorder,Cargo(mobile),Cargo(station),Fishing Boat(mobile),Fishing Boat(station),Comments,Timing,Lat,Long
1,LP,OFF,50,07,16,24,5,149,120,25,193,,,,,,,,,,,,,0,YI,,,,,,07:16:00,24.0858166666667,120.419883333333
2,BE/R,ON,51,07,43,24,5,83,120,22,48,7.3,253,O,0,0,1.2,9.6,1,33.1,30.1,8.25,6.6,1,JL,0,0,0,1,,07:43:00,24.0971666666667,120.374666666667
3,R,ON,52,07,53,24,4,0,120,21,494,7.7,209,PC,0,1,1.2,9.1,1,34,30.1,8.27,4.26,0,JL,0,0,0,0,有霧氣（船長說空氣污染）,07:53:00,24.0666666666667,120.358233333333
4,R,ON,53,08,05,24,2,998,120,20,489,7.3,226,PC,0,1,1.2,7.5,1,33.9,30.1,8.25,7.93,2,JL,0,0,0,1,,08:05:00,24.0499666666667,120.341483333333
5,R,ON,54,08,14,24,2,0,120,19,784,7.4,218,O,0,0,1.2,5.6,1,33.8,30.1,8.25,6.05,0,XN,0,0,0,0,水氣,08:14:00,24.0333333333333,120.329733333333
6,R,ON,55,08,24,24,1,1,120,19,199,7.3,208,O,0,0,1.2,3.7,1,33.6,30.1,8.24,4.65,0,XN,0,0,1,0,換電池,08:24:00,24.0183333333333,120.319983333333
7,R,ON,56,08,35,23,59,999,120,18,487,6.3,212,O,0,0,1.2,9.2,1,28,30,8.22,7.37,0,YI,0,0,0,0,水氣重,08:35:00,23.9999833333333,120.308116666667
8,R,ON,57,08,45,23,58,999,120,17,841,6.9,218,MC,0,0,1.2,12.3,1,32.7,30.2,8.23,4.46,4,YI,0,0,0,1,,08:45:00,23.9833166666667,120.29735
9,R,ON,58,08,54,23,58,0,120,17,214,7.4,211,MC,0,0,1.2,12.1,1,33.7,30,8.22,4.71,0,CW,0,0,0,0,,08:54:00,23.9666666666667,120.2869
10,R,ON,59,09,04,23,56,999,120,16,568,7.5,214,MC,0,0,1.2,10.7,1,31.7,30,8.23,4.25,1,CW,0,0,0,1,,09:04:00,23.9499833333333,120.276133333333
11,R,ON,60,09,14,23,56,0,120,15,899,7.6,211,MC,0,0,1.2,10.1,1,31.7,30.3,8.22,5.8,4,HH,0,0,0,0,,09:14:00,23.9333333333333,120.264983333333
12,R,ON,61,09,23,23,54,995,120,15,219,7.8,211,MC,0,0,1.2,18.3,1,31.4,30.4,8.22,6.64,1,HH,0,0,0,0,,09:23:00,23.9165833333333,120.25365
13,R,ON,62,09,31,23,53,998,120,14,590,8.1,213,MC,0,0,1.3,6.2,1,33.9,30.2,8.22,4.72,0,JL,0,0,0,0,,09:31:00,23.8999666666667,120.243166666667
14,R,ON,63,09,45,23,52,998,120,13,3,8.1,234,MC,0,0,1.3,7.5,1,33.9,30.4,8.21,4.73,0,JL,0,0,0,0,,09:45:00,23.8833,120.221666666667
15,S,ON,64,09,47,23,52,784,120,12,813,,,,,,,7.4,1,34.2,30.3,8.21,4.05,0,CW,0,0,0,0,船230 豚135,09:47:00,23.8797333333333,120.21355
16,LS/BT,OFF,72,10,22,23,51,976,120,12,462,,,,,,,4.2,1,34.1,30.7,8.22,3.78,0,CW,0,0,0,0,,10:22:00,23.8662666666667,120.2077
17,R,ON,73,10,34,23,53,0,120,13,17,6.9,42,MC,0,0,1.3,7.5,1,34.1,30.6,8.23,3.45,0,XN,0,0,0,0,,10:34:00,23.8833333333333,120.2195
18,R,ON,74,10,49,23,53,999,120,14,599,7.2,58,Cd,0,0,1.3,6.1,1,33.5,30.7,8.22,4.75,0,XN,0,0,0,0,,10:49:00,23.8999833333333,120.243316666667
19,R,ON,75,10,59,23,55,1,120,15,250,7.5,32,Cd,0,0,1.3,7.9,1,33.8,30.6,8.22,3.57,0,YI,0,0,0,0,,10:59:00,23.9183333333333,120.254166666667
20,R,ON,76,11,08,23,56,1,120,15,898,7.6,28,Cd,0,0,1.5,10.1,1,33.5,30.7,8.23,3.85,1,YI,0,0,0,0,,11:08:00,23.935,120.264966666667
21,R,ON,77,11,18,23,57,0,120,16,591,7.5,31,Cd,0,0,1.5,8.6,1,33.4,30.6,8.22,3.43,0,CW,0,0,0,0,,11:18:00,23.95,120.276516666667
22,R,ON,78,11,27,23,58,1,120,17,241,7.6,25,Cd,0,0,1.5,12.3,1,33.4,30.5,8.23,4.5,0,CW,0,0,0,1,,11:27:00,23.9683333333333,120.28735
23,R,ON,79,11,36,23,59,1,120,17,855,7.8,26,Cd,0,0,1.5,12.6,1,33.2,30.6,8.23,3.37,0,HH,0,0,0,0,,11:36:00,23.985,120.297583333333
24,R,ON,80,11,45,24,0,2,120,18,516,8.1,34,Cd,0,0,1.5,9.1,1,33.4,30.8,8.24,2.75,0,HH,0,0,0,0,,11:45:00,24.0033333333333,120.3086
25,R,ON,81,11,55,24,1,1,120,19,201,8.4,35,Cd,0,0,1.5,3.7,1,32.9,30.5,8.25,3.21,0,JL,0,0,0,0,,11:55:00,24.0183333333333,120.320016666667
26,R,ON,82,12,04,24,2,3,120,19,787,7.4,25,Cd,0,0,1.5,5.5,1,33.1,30.7,8.25,3.06,0,JL,0,0,0,0,,12:04:00,24.0383333333333,120.329783333333
27,R,ON,83,12,13,24,3,0,120,20,516,7.8,32,Cd,0,0,1.5,7.6,1,33.9,30.2,8.24,3.32,0,XN,0,0,0,0,,12:13:00,24.05,120.341933333333
28,R,ON,84,12,24,24,4,1,120,21,507,7.8,50,Cd,0,0,1.5,9.2,1,33.7,30.6,8.26,2.7,0,XN,0,0,0,0,,12:24:00,24.0683333333333,120.35845
29,R/EE,OFF,85,12,32,24,4,997,120,21,990,7.8,22,Cd,0,0,1.5,11.2,1,33.9,30.3,8.2,3.54,2,YI,0,0,0,0,,12:32:00,24.0832833333333,120.3665
30,BP,OFF,86,13,01,24,5,87,120,25,210,,,,,,,,,,,,,,,,,,,,13:01:00,24.0978333333333,120.420166666667
31,LP,OFF,751,07,35,24,5,136,120,25,190,,,,,,,,,,,,,0,JL,,,,,,07:35:00,24.0856,120.419833333333
32,BE/R,ON,752,08,03,24,5,33,120,22,24,6.8,217,Cd,0,0,1.5,9.9,1,32,30.3,8.19,5.39,0,CW,0,1,0,1,,08:03:00,24.0888333333333,120.370666666667
33,R,ON,753,08,12,24,4,0,120,21,487,7.7,221,Cd,0,0,1.5,9.3,1,33.9,30.1,8.26,5.15,5,CW,0,0,0,2,,08:12:00,24.0666666666667,120.358116666667
34,R,ON,754,08,23,24,3,0,120,20,539,7.3,220,Cd,0,0,1.5,8.1,1,33.6,30.3,8.24,4.36,5,CW,0,0,1,1,,08:23:00,24.05,120.342316666667
35,R,ON,755,08,33,24,2,0,120,19,785,7.7,210,Cd,0,0,1.5,5.1,1,33.4,30.3,8.21,7.26,0,YI,0,0,0,0,岸邊略有水氣,08:33:00,24.0333333333333,120.32975
36,R,ON,756,08,42,24,1,0,120,19,218,7.4,216,Cd,0,0,1.5,3.3,1,33.4,30.2,8.23,4.53,0,YI,0,0,0,0,,08:42:00,24.0166666666667,120.3203
37,R,ON,757,08,53,23,59,997,120,18,512,6.6,209,Cd,0,0,1.5,9,1,26.6,30.3,8.2,7.31,0,JL,0,0,0,0,,08:53:00,23.99995,120.308533333333
38,R,ON,758,09,03,23,58,999,120,17,838,7.3,229,Cd,0,0,1.5,12.5,1,32.5,30.5,8.22,4.33,4,JL,0,0,0,1,,09:03:00,23.9833166666667,120.2973
39,R,ON,759,09,12,23,57,999,120,17,260,7.6,216,Cd,0,0,1.5,11.8,1,33.8,30.2,8.22,5.5,0,XN,0,0,0,0,,09:12:00,23.96665,120.287666666667
40,R,ON,760,09,22,23,56,999,120,16,566,7.7,210,Cd,0,0,1.5,9.8,1,34,30.1,8.22,4.3,0,XN,0,0,0,0,,09:22:00,23.9499833333333,120.2761
41,R,ON,761,09,31,23,55,999,120,15,886,7.6,213,Cd,0,0,1.5,10.1,1,33.4,30.5,8.22,4.09,1,HH,0,0,0,0,,09:31:00,23.9333166666667,120.264766666667
42,R,ON,762,09,40,23,54,998,120,15,250,8,212,Cd,0,0,1.5,7.9,1,34.1,30.5,8.22,3.45,0,HH,0,0,0,0,,09:40:00,23.9166333333333,120.254166666667
43,R,ON,763,09,49,23,53,998,120,14,606,8.3,207,Cd,0,0,1.5,5.7,1,34.2,30.3,8.21,4.42,0,CW,0,0,0,0,,09:49:00,23.8999666666667,120.243433333333
44,R,ON,764,10,02,23,53,0,120,13,7,8,231,Cd,0,0,1.5,7.4,1,34.1,30.3,8.21,4.19,0,CW,0,0,0,0,,10:02:00,23.8833333333333,120.228333333333
45,R/CC,ON,765,10,11,23,52,0,120,12,246,8.3,213,Cd,0,0,1.5,6.4,1,34,30.3,8.2,3.45,0,YI,0,0,0,0,,10:11:00,23.8666666666667,120.2041
46,R,ON,766,10,21,23,53,0,120,13,1,7.8,40,PC,0,0,1.5,7.7,1,34.3,30.3,8.22,3.82,1,YI,0,0,0,0,,10:21:00,23.8833333333333,120.218333333333
47,R,ON,767,10,35,23,54,2,120,14,599,7.8,53,PC,0,0,1.5,6.1,1,34.2,30.3,8.21,3.57,0,JL,0,0,0,0,,10:35:00,23.9033333333333,120.243316666667
48,R,ON,768,10,44,23,55,0,120,15,249,7.4,36,PC,0,0,1.5,8.3,1,33.9,30.5,8.22,3.92,0,JL,0,0,0,0,,10:44:00,23.9166666666667,120.25415
49,R,ON,769,10,54,23,56,0,120,15,894,7.6,29,PC,0,0,1.5,10.2,1,33.8,30.6,8.22,3.71,1,XN,0,0,0,0,,10:54:00,23.9333333333333,120.2649
50,R,ON,770,11,03,23,57,1,120,16,573,7.7,31,PC,0,0,1.5,10.1,1,33.9,30.5,8.22,3.37,0,XN,0,0,0,0,,11:03:00,23.9516666666667,120.276216666667
51,R,ON,771,11,12,23,58,0,120,17,244,7.6,29,PC,0,0,1.5,12.7,1,32.7,30.8,8.2,4.24,2,HH,0,0,0,0,,11:12:00,23.9666666666667,120.2874
52,R,ON,772,11,21,23,59,0,120,17,835,7.8,28,PC,0,0,1.5,12.8,1,33.1,30.7,8.21,4.54,3,HH,0,0,0,0,,11:21:00,23.9833333333333,120.29725
53,R,ON,773,11,30,24,0,1,120,18,492,8.1,29,PC,0,0,1.5,9.6,1,33.7,30.7,8.22,2.45,0,CW,0,0,0,0,,11:30:00,24.0016666666667,120.3082
54,R,ON,774,11,39,24,1,0,120,19,189,7.9,31,PC,0,0,1.5,4.3,1,33,30.6,8.2,3.02,0,CW,0,0,0,0,,11:39:00,24.0166666666667,120.319816666667
55,R,ON,775,11,48,24,2,2,120,19,777,7.5,30,PC,0,0,1.5,6.5,1,32.4,30.5,8.22,4.15,0,YI,0,0,0,0,,11:48:00,24.0366666666667,120.329616666667
56,R,ON,776,11,57,24,3,1,120,20,468,7.9,32,PC,0,0,1.5,8.9,1,33,30.8,8.23,2.86,3,YI,0,0,2,1,,11:57:00,24.0516666666667,120.341133333333
57,R,ON,777,12,08,24,4,18,120,21,513,8.3,45,Cr,0,0,1.5,9.7,1,32.8,30.7,8.22,2.29,0,JL,0,0,0,0,些許白頭浪,12:08:00,24.0696666666667,120.35855
58,R/EE,OFF,778,12,16,24,5,5,120,21,996,7.8,25,Cr,0,0,1.5,11.7,1,33.7,30.7,8.21,3.83,1,JL,0,0,0,0,工作船*1,12:16:00,24.0916666666667,120.3666
59,BP,OFF,779,12,44,24,5,37,120,25,248,,,,,,,,,,,,,0,JL,,,,,,12:44:00,24.0895,120.4208
60,LP,OFF,743,05,43,24,5,128,120,25,195,,,,,,,,,,,,,0,JL,,,,,,05:43:00,24.0854666666667,120.419916666667
61,R,ON,744,06,10,24,5,70,120,22,43,7,253,PC,0,0,1.2,9.2,1,32.2,28.5,8.14,4.91,0,XN,0,0,0,1,,06:10:00,24.095,120.373833333333
62,R,ON,745,06,20,24,4,0,120,21,503,7.5,211,PC,0,0,1.2,8.7,1,32.8,28.6,8.16,6.9,0,XN,0,0,0,0,,06:20:00,24.0666666666667,120.358383333333
63,R,ON,746,06,32,24,3,0,120,20,492,7.3,211,Cr,0,0,1.2,7.2,1,32.8,28.7,8.16,3.95,0,XN,0,0,0,0,,06:32:00,24.05,120.341533333333
64,R,ON,747,06,41,24,1,997,120,19,817,7,210,Cr,1,1,1.5,4.3,1,30.2,28.6,8.13,7.11,0,KP,0,0,0,0,,06:41:00,24.0332833333333,120.330283333333
65,R,ON,748,06,52,24,0,998,120,19,194,6.9,205,Cr,1,1,1.5,3.7,1,30,28.6,8.12,6.8,0,KP,0,0,0,0,,06:52:00,24.0166333333333,120.3199
66,R,ON,749,07,02,24,0,6,120,18,498,6.9,211,Cr,1,1,1.5,9,1,30.6,28.4,8.12,5.79,0,JL,0,0,0,0,,07:02:00,24.01,120.3083
67,R,ON,750,07,12,23,59,0,120,17,856,7,209,Cr,1,1,1.5,11.9,1,32.1,28.5,8.13,5.52,0,JL,0,0,0,0,,07:12:00,23.9833333333333,120.2976
68,R,ON,751,07,22,23,58,4,120,17,242,7.5,210,Cr,2,1,1.5,11.7,1,32.7,28.6,8.11,15,0,MO,0,0,0,0,有水氣,07:22:00,23.9733333333333,120.287366666667
69,R,ON,752,07,31,23,57,7,120,16,611,7.5,211,Cr,2,1,1.5,8.4,1,32.9,28.6,8.12,12.4,0,MO,0,0,0,2,,07:31:00,23.9616666666667,120.27685
70,R,ON,753,07,41,23,55,989,120,15,882,6.3,205,Cr,1,1,1.5,9.9,1,32.1,28.6,8.13,15.4,0,XN,0,0,0,0,,07:41:00,23.93315,120.2647
71,R,ON,754,07,50,23,55,0,120,15,260,7.7,213,Cr,1,1,1.5,7.7,1,31.7,28.6,8.13,8.52,0,XN,0,0,0,0,,07:50:00,23.9166666666667,120.254333333333
72,R,ON,755,07,59,23,54,4,120,14,569,8,211,Cr,1,1,1.5,6.4,1,32.4,28.9,8.13,12,0,KP,0,0,0,0,,07:59:00,23.9066666666667,120.242816666667
73,R,ON,756,08,12,23,53,0,120,13,7,8.1,232,Cr,1,1,1.5,7.2,1,19.6,27.9,8.11,14.1,0,KP,0,0,0,0,,08:12:00,23.8833333333333,120.228333333333
74,S,OFF,757,08,18,23,52,295,120,12,491,,,Cr,1,1,1.5,6.2,1,33.2,28.9,8.14,5.51,0,JL,0,0,0,0,首220 豚240,08:18:00,23.8715833333333,120.208183333333
75,LS,OFF,765,08,55,23,53,45,120,11,997,,,,,,,15.7,1,33.1,29.4,8.14,6.02,0,JL,,,,,,08:55:00,23.8908333333333,120.19995
76,S,OFF,766,09,02,23,53,355,120,12,990,,,,,,,,,,,,,0,JL,,,,,太遠怕潮汐來不及,09:02:00,23.88925,120.2165
77,BT,ON,767,09,07,23,53,541,120,13,599,,,,,,,,,,,,,0,JL,,,,,,09:07:00,23.89235,120.22665
78,R,ON,768,09,15,23,54,2,120,14,611,7.7,57,Cr,1,1,1.5,5.3,1,29.5,32.8,8.12,9.21,0,JL,0,0,0,0,,09:15:00,23.9033333333333,120.243516666667
79,R,ON,769,09,24,23,55,4,120,15,253,8,37,Cr,1,1,1.5,7.7,1,32,29.2,8.11,7.76,0,MO,0,0,0,0,,09:24:00,23.9233333333333,120.254216666667
80,R,ON,770,09,32,23,56,2,120,15,887,8.2,33,Cr,1,1,1.5,9.9,1,31.9,29.2,8.09,14.1,4,MO,0,0,0,1,,09:32:00,23.9366666666667,120.264783333333
81,R,ON,771,09,41,23,57,2,120,16,561,7.9,31,Cr,1,0,1.5,9.7,1,32.4,29.3,8.1,9.92,3,XN,0,0,1,1,水菓一號調查船進行拖網作業,09:41:00,23.9533333333333,120.276016666667
82,R,ON,772,09,50,23,58,1,120,17,247,8.1,34,Cr,1,0,1.5,11.7,1,31.6,29.3,8.09,5.75,0,XN,0,0,0,0,,09:50:00,23.9683333333333,120.28745
83,R,ON,773,09,59,23,59,10,120,17,859,8.2,31,Cr,0,0,1.5,12.1,1,30.8,29.4,8.09,5.38,2,KP,0,0,0,0,,09:59:00,23.985,120.29765
84,R,ON,774,10,08,24,0,11,120,18,524,8.3,36,Cr,0,0,1.5,8.9,1,30,29.4,8.1,6.26,0,KP,0,0,0,0,,10:08:00,24.0018333333333,120.308733333333
85,R,ON,775,10,16,24,1,1,120,19,189,7.6,35,Cr,0,0,1.5,3.8,1,29.8,29.3,8.1,4.41,0,JL,0,0,0,0,些許白頭浪,10:16:00,24.0183333333333,120.319816666667
86,R,ON,776,10,25,24,2,1,120,19,780,7.8,28,Cr,0,0,1.5,5.5,1,30.4,29.4,8.11,5,0,JL,0,0,0,0,,10:25:00,24.035,120.329666666667
87,R,ON,777,10,34,24,3,8,120,20,525,8,35,Cr,0,0,1.5,8.4,1,31,29.3,8.12,4.17,4,JL,0,0,0,1,,10:34:00,24.0633333333333,120.342083333333
88,R,ON,778,10,44,24,4,3,120,21,520,8.4,38,PC,0,0,1.5,8.9,1,31.1,29.2,8.12,3.8,1,MO,0,0,0,1,稍有水氣,10:44:00,24.0716666666667,120.358666666667
89,R,OFF,779,10,52,24,5,5,120,22,50,8.2,22,PC,0,0,1.5,9.9,2,32.3,29,8.13,3.42,1,MO,0,1,0,1,,10:52:00,24.0916666666667,120.375
90,BP,OFF,780,11,19,24,5,111,120,25,211,,,,,,,,,,,,,0,JL,,,,,,11:19:00,24.0851833333333,120.420183333333
