id,EC,EC,Effort,GPS,Time,,Latitude(N),,,Longitude(E),,,Speed,Brg,Weather,Glare,Sightability,Visibility,deep(m),Beaufort,Sal.(‰),T(℃),pH,Turbidity(NTU),Net,Recorder,Cargo(mobile),Cargo(station),Fishing Boat(mobile),Fishing Boat(station),Comments
125,LP,LP,OFF,433,08,18 ,24,5,111,120,25,204,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
126,BE/R,R,ON,434,08,40,24,6,005,120,22,495,7.5 ,009,MC,1,1,1.5 ,8.8 ,2,23.4 ,30.4,8.13 ,4.3 ,-,KP,0,0,0,1,潑浪
127,R,R,ON,435,08,49,24,7,008,120,23,007,7.7 ,028,MC,1,1,1.5 ,8.5 ,2,33.6,30.6,8.12 ,6.0 ,-,KP,0,0,0,2,頂風頂浪/潑
128,R,R,ON,436,08,57,24,7,981,120,23,467,7.5,023,MC,1,1,1.5 ,2.5 ,2,33.7,30.5,8.12 ,6.4 ,-,KP,0,0,0,0,-
129,S,S,OFF,437,09,0,24,8,283,120,23,508,-,-,-,-,-,-,4.3 ,2,33.7 ,29.3,8.12 ,6.2 ,-,YY,-,-,-,-,豚023船023
130,BT/LS,LS/BT,ON,438,09,8,24,8,502,120,23,610,-,-,-,-,-,-,-,2,33.7 ,30.6,8.12 ,7.3 ,-,YY,-,-,-,-,-
131,R,R,ON,439,09,14,24,9,105,120,23,892,7.6 ,040,MC,1,1,1.5 ,4.5 ,2,33.8 ,30.6,8.13 ,8.1 ,-,MG,0,0,0,0,-
132,R9,R9,ON,440,09,24,24,10,008,120,24,773,7.2 ,039,MC,1,1,1.5 ,4.0 ,2,33.9 ,30.5,8.10 ,7.2 ,-,MG,0,0,0,0,-
133,R10,R10,ON,441,09,34,24,10,998,120,25,599,7.4 ,033,MC,1,1,1.5 ,8.5 ,2,33.8 ,30.4,8.13 ,4.6 ,-,YY,0,0,0,0,-
134,R11/S/C,R11/S/C,OFF,442,09,44,24,12,001,120,26,346,7.1 ,035,MC,1,1,1.5 ,5.9 ,-,25.8 ,30.1 ,8.04 ,27.4 ,-,YY,-,-,-,-,豚40船40
135,LS,LS,ON,447,10,10,24,12,800,120,26,639,-,-,-,-,-,-,10.5 ,3,21.8 ,30.0 ,8.01 ,46.2 ,-,LH,-,-,-,-,-
136,R,R,ON,448,10,14,24,13,119,120,26,960,7.6 ,044,MC,1,2,1.5 ,10.7 ,3,24.9 ,30.6 ,8.04 ,31.8 ,-,LH,0,0,0,0,-
137,R,R,ON,449,10,24,24,14,008,120,27,903,7.5 ,028,MC,1,2,1.5 ,12.8 ,3,33.8 ,30.8 ,8.15 ,3.8 ,-,LH,0,0,0,0,-
138,R/cc,R,OFF,450,10,33,24,15,004,120,28,502,7.9 ,036,MC,1,2,1.5 ,13.2 ,3,34.0 ,30.7 ,8.14 ,4.2 ,-,LH,0,1,0,0,-
139,R/BE,R,ON,451,10,42,24,15,998,120,29,124,7.5 ,024,MC,1,2,1.5 ,13.1 ,3,34.1 ,30.7 ,8.12 ,4.4 ,-,LH,0,0,0,0,-
140,R,R,ON,452,10,51,24,17,001,120,29,679,7.6 ,038,MC,1,2,1.5 ,8.7 ,2,33.8 ,31.0 ,8.14 ,3.8 ,-,MG,1,1,0,0,北堤風浪大提早折返
141,R,R,ON,453,11,0,24,16,019,120,29,149,8.0 ,210,MC,1,2,1.5 ,12.6 ,2,34.1 ,30.9 ,8.12 ,5.3 ,-,MG,0,0,0,0,-
142,R,R,ON,454,11,9,24,15,000,120,28,518,8.0 ,210,MC,1,2,1.5 ,3.2 ,2,34.0 ,30.9 ,8.13 ,3.6 ,-,MG,0,1,0,0,-
143,R,R,ON,455,11,18,24,14,010,120,27,897,8.0 ,203,MC,1,2,1.5 ,12.5 ,3,33.7 ,30.9 ,8.15 ,3.3 ,-,MG,0,0,0,0,-
144,R,R,ON,456,11,27,24,13,003,120,27,229,8.3 ,227,MC,1,2,1.5 ,9.4 ,2,7.0 ,29.1 ,7.74 ,155.0 ,-,YY,0,0,0,0,-
145,R,R,ON,457,11,37,24,11,993,120,26,378,8.1 ,213,MC,1,2,1.5 ,4.6 ,2,24.3 ,30.9 ,8.01 ,56.5 ,-,YY,0,0,0,0,-
146,R,R,ON,458,11,46,24,11,000,120,25,655,7.6 ,208,MC,1,2,1.5 ,5.9 ,2,33.3 ,31,8.09 ,14.1 ,-,XN,0,0,0,0,-
147,R,R,ON,459,11,57,24,9,999,120,24,724,7.3 ,228,MC,1,2,1.5 ,3.7 ,2,33.4 ,31.4,8.05 ,15.8 ,-,XN,0,0,0,0,-
148,R,R,ON,460,12,9,24,8,981,120,23,660,7.9 ,199,MC,1,2,1.5 ,3.8 ,2,33.8 ,31,8.14 ,7.7 ,-,LH,0,0,0,0,-
149,R,R,ON,461,12,18,24,7,998,120,23,263,7.5 ,019,MC,1,2,1.5 ,4.5 ,2,33.7 ,31,8.11 ,7.3 ,-,LH,0,0,0,0,-
150,S/C,S/C,OFF,462,12,25,24,7,268,120,23,086,-,-,-,-,-,-,7.8 ,-,33.8 ,30.8,8.08 ,7.9 ,-,-,-,-,-,-,船195豚100
151,LS,LS,OFF,467,12,45,24,8,017,120,23,194,-,-,-,-,-,-,-,-,-,-,8.10 ,8.2 ,-,-,0,0,0,0,-
152,R/BE,R,ON,468,12,55,24,7,006,120,22,988,7.1 ,208,MC,1,2,1.5 ,7.4 ,2,33.8 ,31,8.08 ,7.9 ,-,KP,0,0,0,0,-
153,R,R,ON,469,13,4,24,6,039,120,22,510,7.0 ,197,MC,1,2,1.5 ,7.1 ,2,32.7 ,31,8.05 ,9.2 ,-,KP,0,0,0,0,-
154,R,R,ON,470,13,14,24,5,012,120,21,999,7.1 ,208,MC,1,2,1.5 ,9.5 ,2,33.7 ,31,8.12 ,7.6 ,-,MG,0,0,0,0,-
155,R/EE,R/EE,OFF,471,13,23,24,4,047,120,21,516,7.3 ,202,MC,1,2,1.5 ,7.2 ,2,29.7 ,31.6,7.99 ,10.2 ,-,MG,0,0,0,0,-
156,BP,BP,OFF,472,14,42,24,5,154,120,25,199,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,